"Id","Label"
"T000472","T000472"
"T000473","T000473"
"T000474","T000474"
"T002566","T002566"
"T002567","T002567"
"T002568","T002568"
"T002569","T002569"
"T002570","T002570"
"T002571","T002571"
"T002573","T002573"
"T002926","T002926"
"T002927","T002927"
"T002928","T002928"
"T012411","T012411"
"T012412","T012412"
"T021207","T021207"
"T021208","T021208"
"T021209","T021209"
"T021210","T021210"
"T021214","T021214"
"T022506","T022506"
"T022507","T022507"
"T026625","T026625"
"T026627","T026627"
"T026628","T026628"
"T026629","T026629"
"T026655","T026655"
"T026661","T026661"
"T034261","T034261"
"T034262","T034262"
"T034263","T034263"
"T051117","T051117"
"T051118","T051118"
"T051119","T051119"
"T051120","T051120"
"T051121","T051121"
"T051122","T051122"
"T053287","T053287"
"T053288","T053288"
"T053289","T053289"
"T053291","T053291"
"T082639","T082639"
"T082640","T082640"
"T082641","T082641"
"T082642","T082642"
"T083839","T083839"
"T083840","T083840"
"T083841","T083841"
"T083842","T083842"
"T083843","T083843"
"T083844","T083844"
"T090793","T090793"
"T090795","T090795"
"T090796","T090796"
"T090797","T090797"
"T090799","T090799"
"T090800","T090800"
"T094061","T094061"
"T101386","T101386"
"T101387","T101387"
"T101389","T101389"
"T101390","T101390"
"T101391","T101391"
"T101392","T101392"
"T101393","T101393"
"T123916","T123916"
"T126812","T126812"
"T126813","T126813"
"T126815","T126815"
"T128009","T128009"
"T128010","T128010"
"T128011","T128011"
"T128012","T128012"
"T143987","T143987"
"T143988","T143988"
"T143989","T143989"
"T143990","T143990"
"T143991","T143991"
"T143992","T143992"
"T144226","T144226"
"T144227","T144227"
"T144228","T144228"
"T152709","T152709"
"T152710","T152710"
"T169013","T169013"
"T169014","T169014"
"T169016","T169016"
"T169029","T169029"
"T169042","T169042"
"T169043","T169043"
"T169044","T169044"
"T169045","T169045"
"T169046","T169046"
"T172379","T172379"
"T172380","T172380"
"T172381","T172381"
"T172382","T172382"
"T177156","T177156"
"T177157","T177157"
"T177158","T177158"
"T177159","T177159"
"T177160","T177160"
"T177161","T177161"
"T177162","T177162"
"T177163","T177163"
"T197389","T197389"
"T197390","T197390"
