"Source","Target"
"T000472","T000474"
"T000472","T002566"
"T000472","T034263"
"T000472","T053289"
"T000472","T101390"
"T000472","T143988"
"T000472","T152709"
"T000473","T000472"
"T000473","T002566"
"T000473","T126812"
"T000473","T144226"
"T000473","T177156"
"T000474","T101386"
"T000474","T143987"
"T000474","T177163"
"T002566","T026625"
"T002566","T051120"
"T002566","T143992"
"T002566","T172379"
"T002566","T177156"
"T002566","T177163"
"T002567","T002571"
"T002567","T053287"
"T002568","T002571"
"T002568","T002573"
"T002569","T002568"
"T002569","T002570"
"T002569","T002573"
"T002570","T002569"
"T002570","T002571"
"T002570","T002573"
"T002570","T123916"
"T002570","T143990"
"T002571","T034262"
"T002571","T051121"
"T002571","T053289"
"T002571","T152710"
"T002573","T177159"
"T002926","T002927"
"T002926","T128010"
"T002926","T152709"
"T002926","T152710"
"T002926","T172380"
"T002927","T002928"
"T002927","T022506"
"T002927","T034263"
"T002927","T083841"
"T002927","T126815"
"T002927","T169013"
"T002928","T128010"
"T002928","T143988"
"T002928","T169013"
"T012411","T034263"
"T012411","T144226"
"T012412","T012411"
"T012412","T128010"
"T021207","T021208"
"T021207","T026625"
"T021207","T053291"
"T021208","T021209"
"T021208","T021210"
"T021209","T021210"
"T021209","T083839"
"T021210","T083839"
"T021210","T083842"
"T021210","T143987"
"T021210","T172379"
"T021214","T021207"
"T022506","T053287"
"T022506","T094061"
"T022506","T169014"
"T022506","T172380"
"T022506","T172382"
"T022507","T053287"
"T022507","T083842"
"T022507","T172379"
"T022507","T177160"
"T026625","T026627"
"T026625","T026628"
"T026625","T026629"
"T026625","T026655"
"T026625","T169016"
"T026627","T026628"
"T026627","T026629"
"T026627","T026655"
"T026627","T169014"
"T026628","T026661"
"T026628","T169043"
"T026629","T026655"
"T026629","T034262"
"T026629","T051120"
"T026629","T126812"
"T026629","T128012"
"T026655","T026661"
"T026655","T051117"
"T026655","T051118"
"T026655","T051120"
"T026655","T143991"
"T026655","T144226"
"T034261","T034263"
"T034261","T123916"
"T034261","T128012"
"T034261","T143991"
"T034262","T034263"
"T034262","T101386"
"T034262","T172382"
"T034263","T051121"
"T034263","T083839"
"T034263","T144226"
"T051117","T051122"
"T051117","T126813"
"T051118","T101387"
"T051118","T128009"
"T051119","T051117"
"T051119","T051118"
"T051119","T051120"
"T051120","T123916"
"T051120","T177159"
"T051121","T053291"
"T051121","T126812"
"T051121","T144228"
"T051121","T172379"
"T051121","T172381"
"T051122","T053291"
"T051122","T083841"
"T051122","T083843"
"T051122","T128009"
"T051122","T169016"
"T053287","T053288"
"T053287","T172382"
"T053287","T197390"
"T053288","T083839"
"T053288","T101387"
"T053288","T169043"
"T053288","T197389"
"T053289","T123916"
"T053289","T177157"
"T053289","T177163"
"T053291","T094061"
"T053291","T152710"
"T053291","T169042"
"T053291","T172382"
"T082639","T082640"
"T082639","T082641"
"T082639","T082642"
"T082640","T082639"
"T082640","T082641"
"T082640","T082642"
"T082641","T082639"
"T082641","T082640"
"T082641","T082642"
"T082642","T082639"
"T082642","T082640"
"T082642","T082641"
"T083839","T083841"
"T083840","T021208"
"T083840","T083839"
"T083840","T083841"
"T083841","T152709"
"T083841","T169016"
"T083841","T172382"
"T083842","T083844"
"T083842","T177158"
"T083843","T083842"
"T083843","T083844"
"T083843","T144228"
"T083843","T177156"
"T083844","T172379"
"T090793","T090795"
"T090793","T090796"
"T090793","T090797"
"T090795","T090800"
"T090796","T090795"
"T090796","T090797"
"T090796","T090799"
"T090797","T090795"
"T090799","T090797"
"T090799","T090800"
"T090800","T090793"
"T094061","T128010"
"T094061","T143991"
"T101386","T101387"
"T101386","T172381"
"T101387","T101390"
"T101387","T101393"
"T101387","T197389"
"T101389","T000474"
"T101389","T101390"
"T101389","T101393"
"T101390","T101393"
"T101390","T197389"
"T101391","T101392"
"T101391","T177161"
"T101392","T101391"
"T101392","T128009"
"T101392","T144228"
"T101392","T177156"
"T101393","T152710"
"T123916","T128009"
"T123916","T152710"
"T123916","T177157"
"T126812","T126813"
"T126812","T144227"
"T126812","T152710"
"T126812","T169013"
"T126812","T169014"
"T126812","T172382"
"T126813","T177163"
"T126815","T177160"
"T128009","T128010"
"T128009","T143992"
"T128009","T152709"
"T128010","T128011"
"T128010","T128012"
"T128010","T144226"
"T128010","T144228"
"T128010","T172382"
"T128011","T177157"
"T128012","T172379"
"T128012","T177156"
"T143987","T143989"
"T143989","T143990"
"T143989","T197389"
"T143990","T143991"
"T143991","T143992"
"T143992","T094061"
"T144226","T144227"
"T144227","T144228"
"T144227","T177159"
"T152709","T169016"
"T152709","T172379"
"T152709","T172380"
"T169013","T169014"
"T169013","T169016"
"T169029","T169014"
"T169029","T169016"
"T169042","T169043"
"T169042","T169044"
"T169044","T169043"
"T169044","T169046"
"T169045","T169042"
"T169045","T169044"
"T169045","T169046"
"T172380","T172379"
"T172380","T172381"
"T172381","T022506"
"T172381","T053287"
"T172381","T172382"
"T172381","T197390"
"T177156","T177157"
"T177156","T177161"
"T177156","T197390"
"T177157","T177158"
"T177157","T177159"
"T177157","T177161"
"T177157","T177163"
"T177158","T177159"
"T177160","T177161"
"T177162","T022507"
"T177162","T177160"
"T197389","T197390"
